price,encoded_category_1,encoded_category_2,encoded_category_3,town_encoded,county_encoded
5.0,6,22,208,1565,6
20.0,6,73,246,764,46
20.0,6,39,271,1282,52
115.0,6,22,225,1169,78
450.0,6,22,298,440,54
9.0,6,73,246,1028,41
419.0,6,8,298,747,95
10.0,6,73,246,1028,41
50.0,6,8,298,929,50
200.0,6,22,92,1504,63
449.0,6,22,298,1539,54
15.0,6,73,246,974,26
100.0,6,8,230,744,33
100.0,6,39,271,911,51
10.0,6,39,271,470,20
40.0,6,22,186,967,76
330.0,6,55,249,497,53
25.0,6,22,186,1001,32
100.0,6,8,230,1164,41
100.0,6,22,225,1529,40
160.0,6,39,271,1347,45
7.0,6,55,93,1189,17
3.0,6,73,246,620,35
20.0,6,55,249,570,6
120.0,6,22,55,1447,53
14.0,6,73,246,856,35
0.0,6,22,298,764,46
5.0,6,22,280,558,43
30.0,6,39,286,472,34
5.0,6,22,280,558,43
30.0,6,22,76,1061,62
5.0,6,73,246,1100,89
160.0,6,8,298,1359,82
30.0,6,22,92,638,52
10.0,6,22,85,1499,55
499.0,6,22,298,44,53
100.0,6,22,65,1044,20
10.0,6,55,206,1412,21
10.0,6,73,246,905,68
130.0,6,8,298,544,93
15.0,6,22,65,360,91
30.0,6,22,225,347,36
40.0,6,73,246,174,50
30.0,6,22,92,290,13
80.0,6,39,271,155,21
45.0,6,22,55,1288,6
60.0,6,22,298,988,58
400.0,6,73,246,1063,53
189.99,6,8,298,11,53
95.0,6,22,92,1461,95
120.0,6,22,298,812,53
19.0,6,22,208,944,68
130.0,6,8,298,1008,93
100.0,6,8,298,974,26
1900.0,6,22,298,1394,53
65.0,6,22,85,94,20
50.0,6,22,85,1376,41
300.0,6,22,92,494,0
59.0,6,8,46,231,33
30.0,6,22,55,1305,43
150.0,6,73,246,642,53
60.0,6,22,92,652,80
50.0,6,22,208,276,53
10.0,6,22,225,1141,9
120.0,6,22,76,1026,88
130.0,6,8,298,1008,93
100.0,6,22,92,1081,5
25.0,6,22,280,22,9
5.0,6,73,246,819,38
500.0,6,22,298,856,35
20.0,6,22,76,402,35
15.0,6,73,246,686,53
60.0,6,8,96,766,84
40.0,6,22,92,1311,40
20.0,6,22,298,424,35
65.0,6,55,272,1370,53
10.0,6,73,246,446,26
140.0,6,8,298,163,93
60.0,6,73,246,395,35
300.0,6,22,65,1584,9
2.0,6,73,246,1391,121
12.0,6,22,359,1307,53
0.0,6,22,298,1375,54
0.0,6,73,246,656,93
10.0,6,22,186,901,113
30.0,6,22,85,369,93
95.0,6,55,249,1069,75
250.0,6,22,298,967,76
30.0,6,8,298,414,18
135.0,6,8,298,925,43
40.0,6,22,55,1288,6
10.0,6,22,280,1556,55
239.0,6,8,298,1029,53
130.0,6,8,298,174,50
109.0,6,8,298,516,53
100.0,6,22,298,300,53
5.0,6,22,280,819,38
45.0,6,73,246,1323,38
25.0,6,22,92,1405,33
220.0,6,22,55,1447,53
30.0,6,22,208,1250,94
75.0,6,73,246,601,40
20.0,6,22,65,190,54
40.0,6,22,65,456,81
10.0,6,22,225,22,9
5.0,6,39,241,907,93
300.0,6,22,225,748,34
40.0,6,22,208,1250,94
150.0,6,39,128,413,53
50.0,6,22,208,1562,69
25.0,6,39,291,875,43
33.0,6,73,246,1501,53
6.0,6,55,130,1354,21
20.0,6,73,246,1547,53
10.0,6,39,291,809,27
199.0,6,8,298,884,55
15.0,6,8,298,1532,88
60.0,6,8,298,1236,93
25.0,6,73,246,484,107
60.0,6,8,298,1236,93
749.0,6,22,298,208,95
845.0,6,22,280,1080,24
0.0,6,22,298,311,6
0.0,6,22,92,520,9
1.0,6,73,246,190,54
30.0,6,22,280,764,46
100.0,6,22,186,764,46
5.0,6,22,280,1260,93
60.0,6,73,246,764,46
45.0,6,55,292,764,46
5.0,6,22,55,819,38
40.0,6,73,246,1080,24
40.0,6,22,280,764,46
199.0,6,8,298,288,105
15.0,6,55,130,190,54
20.0,6,22,280,764,46
165.0,6,73,246,465,85
80.0,6,22,65,1590,78
0.0,6,22,298,99,26
50.0,6,39,271,413,53
59.0,6,8,46,428,53
100.0,6,22,92,1584,9
200.0,6,22,298,145,34
10.0,6,8,187,414,18
35.0,6,22,225,1025,6
30.0,6,22,280,764,46
485.0,6,22,298,236,54
15.0,6,22,208,944,68
5.0,6,73,246,190,54
20.0,6,22,85,353,95
15.0,6,73,246,606,9
10.0,6,55,249,1017,87
199.0,6,8,298,391,93
12.0,6,22,186,1087,69
20.0,6,22,208,1016,31
65.0,6,22,298,819,38
6.0,6,73,246,190,54
325.0,6,22,298,490,5
10.0,6,22,298,558,43
25.0,6,55,130,484,107
100.0,6,73,246,1179,36
85.0,6,22,65,728,20
100.0,6,73,246,278,12
125.0,6,22,92,947,81
13.0,6,22,186,190,54
20.0,6,73,246,190,54
7.0,6,22,280,759,26
199.0,6,8,298,278,12
20.0,6,22,280,819,38
80.0,6,39,28,674,70
40.0,6,22,225,218,82
30.0,6,22,186,390,106
180.0,6,39,18,412,6
70.0,6,8,298,1061,62
10.0,6,39,156,759,26
6.0,6,22,208,1591,65
30.0,6,8,298,819,38
25.0,6,22,186,580,59
125.0,6,8,26,1290,93
100.0,6,73,246,1380,88
120.0,6,22,76,1279,53
150.0,6,22,76,1194,53
25.0,6,22,186,278,12
129.0,6,8,46,856,35
199.0,6,8,46,1311,40
69.0,6,8,46,1311,40
129.0,6,8,46,1311,40
69.0,6,8,46,856,35
25.0,6,55,93,1533,49
5.0,6,8,230,414,18
570.0,6,22,298,59,54
199.0,6,8,298,331,26
40.0,6,73,246,1040,40
549.0,6,22,298,637,53
25.0,6,73,246,391,93
350.0,6,22,298,318,41
45.0,6,8,298,108,52
300.0,6,22,92,202,28
1400.0,6,55,249,399,85
409.0,6,22,298,1182,53
10.0,6,22,225,748,34
199.0,6,8,298,1461,95
450.0,6,22,298,931,11
40.0,6,73,246,1392,96
200.0,6,22,55,1580,122
39.99,6,8,298,885,55
400.0,6,22,92,265,82
20.0,6,22,280,1392,96
50.0,6,22,76,1003,9
500.0,6,22,298,263,82
40.0,6,22,76,1205,53
40.0,6,55,93,933,23
80.0,6,22,298,946,68
15.0,6,73,246,391,93
40.0,6,8,298,306,5
549.0,6,22,298,1340,95
75.0,6,22,92,850,51
199.0,6,8,298,462,81
4.0,6,73,246,1049,43
4.0,6,55,361,391,93
65.0,6,8,26,682,54
40.0,6,73,246,413,53
10.0,6,55,130,279,40
35.0,6,39,184,111,43
